method,replicate_idx,seed,subset_size,clean_acc,asr,poison_kept,poison_total,poison_retention,pruned_acc,pruned_asr,pruned_test_loss
full,0,1608637542,50000,0.941,0.9994,1000,1000,1.0,0.8956,0.9934,0.318073486328125
full,1,1273642419,50000,0.9387,0.9998,1000,1000,1.0,0.902,0.9953,0.306203125
full,2,1935803228,50000,0.9423,0.9996,1000,1000,1.0,0.8831,0.991,0.3496265869140625
random,0,1608637542,25000,0.9133,0.9995,993,1000,0.993,0.8474,0.9974,0.461735595703125
random,1,1273642419,25000,0.9128,0.9995,995,1000,0.995,0.833,0.9952,0.499651611328125
random,2,1935803228,25000,0.9113,0.9997,995,1000,0.995,0.8327,0.9949,0.514251220703125
el2n,0,1608637542,25000,0.8098,0.9994,990,1000,0.99,0.7439,0.9951,1.2470794921875
el2n,1,1273642419,25000,0.8251,0.9999,987,1000,0.987,0.7471,0.9998,1.1724978515625
el2n,2,1935803228,25000,0.8215,0.9999,996,1000,0.996,0.7508,0.9993,1.2139521484375
forget,0,1608637542,25000,0.8769,0.999,905,1000,0.905,0.7732,0.9896,0.71499736328125
forget,1,1273642419,25000,0.8738,0.999,844,1000,0.844,0.7771,0.9929,0.696755810546875
forget,2,1935803228,25000,0.8814,0.9997,852,1000,0.852,0.8179,0.9957,0.58207138671875
craig,0,1608637542,24998,0.8647,0.9799,228,1000,0.228,0.7957,0.931,0.771732421875
craig,1,1273642419,24997,0.8687,0.7784,103,1000,0.103,0.822,0.482,0.799287451171875
craig,2,1935803228,24998,0.8657,0.8869,134,1000,0.134,0.8027,0.6628,0.7577671875
