method,epoch,train_loss,train_acc,test_loss,test_acc
full,1,2.1140715625,0.2474,1.794337890625,0.3476
full,2,1.52883796875,0.43374,1.3857271484375,0.4977
full,3,1.193495859375,0.56796,1.0746158203125,0.6192
full,4,0.954476640625,0.65948,1.202575390625,0.6198
full,5,0.7869996875,0.72302,0.746348974609375,0.7415
full,6,0.666961875,0.76742,0.725292724609375,0.7502
full,7,0.5985654296875,0.79178,0.752355322265625,0.7444
full,8,0.5470509375,0.81184,0.67793408203125,0.7722
full,9,0.51614859375,0.82112,0.95368837890625,0.7023
full,10,0.4871740625,0.83288,0.77203896484375,0.7544
full,11,0.4646012109375,0.84138,0.5838658203125,0.8104
full,12,0.441847109375,0.8479,0.618506494140625,0.8012
full,13,0.43159875,0.8523,0.497638037109375,0.8302
full,14,0.4067128515625,0.86176,0.583858544921875,0.806
full,15,0.3975115234375,0.86284,0.79638818359375,0.7446
full,16,0.3819275390625,0.86966,0.518678271484375,0.8219
full,17,0.3625428515625,0.87588,0.511940966796875,0.8325
full,18,0.3540359765625,0.87822,0.474218017578125,0.8397
full,19,0.3366523046875,0.8849,0.46647587890625,0.8457
full,20,0.333121171875,0.887,0.430146728515625,0.8592
full,21,0.313577265625,0.89144,0.503477685546875,0.8369
full,22,0.30582888671875,0.8957,0.48184228515625,0.8396
full,23,0.2894349609375,0.9017,0.486878369140625,0.8428
full,24,0.27473033203125,0.90566,0.398308251953125,0.8685
full,25,0.26188029296875,0.90934,0.3906052001953125,0.8701
full,26,0.253108671875,0.91286,0.3714020751953125,0.8749
full,27,0.24144623046875,0.91666,0.413855029296875,0.8634
full,28,0.21850248046875,0.92506,0.418869873046875,0.8692
full,29,0.21720748046875,0.9261,0.40749609375,0.8672
full,30,0.1950762109375,0.93326,0.3309062744140625,0.8905
full,31,0.1812897265625,0.93832,0.40226201171875,0.8729
full,32,0.16301623046875,0.944,0.3554832275390625,0.8869
full,33,0.149528984375,0.94872,0.3031438232421875,0.9018
full,34,0.139198984375,0.95242,0.314256103515625,0.9016
full,35,0.12161548828125,0.9583,0.3025814697265625,0.9092
full,36,0.109254951171875,0.96288,0.295015673828125,0.909
full,37,0.094715849609375,0.96812,0.313890673828125,0.9087
full,38,0.076578134765625,0.97446,0.262900732421875,0.9221
full,39,0.06507400390625,0.97818,0.2614909912109375,0.9221
full,40,0.0467962158203125,0.9845,0.2566368896484375,0.9254
full,41,0.0389017236328125,0.98768,0.2372648681640625,0.9306
full,42,0.0281598828125,0.9917,0.23872724609375,0.9326
full,43,0.0216285888671875,0.99372,0.23960478515625,0.9342
full,44,0.016231644287109374,0.9955,0.223838134765625,0.9379
full,45,0.012745615234375,0.99668,0.2229669921875,0.9398
full,46,0.01095503173828125,0.99698,0.219118505859375,0.939
full,47,0.009015842895507813,0.9981,0.2178864013671875,0.9414
full,48,0.008455046997070313,0.9982,0.2143953125,0.9412
full,49,0.007324738159179688,0.99874,0.2156734130859375,0.9418
full,50,0.0072803125,0.99864,0.2151005615234375,0.9418
random,1,2.25217640625,0.2166,1.8205357421875,0.3094
random,2,1.70938671875,0.353,1.804253515625,0.3537
random,3,1.47692375,0.44604,1.45810888671875,0.4499
random,4,1.291701328125,0.52372,1.4216080078125,0.4892
random,5,1.126924609375,0.59356,1.19431220703125,0.5681
random,6,0.9897153125,0.64788,1.0139037109375,0.6487
random,7,0.87770546875,0.6918,1.07134140625,0.6322
random,8,0.78959734375,0.72056,0.960519140625,0.6815
random,9,0.70999359375,0.74944,0.87479384765625,0.7005
random,10,0.647310625,0.77528,0.76712265625,0.739
random,11,0.590783671875,0.79512,0.762885693359375,0.7428
random,12,0.5652391015625,0.80384,0.654398583984375,0.7789
random,13,0.52739765625,0.8178,0.634737060546875,0.7841
random,14,0.4849016796875,0.83204,0.73758037109375,0.7571
random,15,0.4637436328125,0.84308,0.692553857421875,0.7655
random,16,0.4381573828125,0.84856,0.653471923828125,0.7782
random,17,0.425801328125,0.85204,0.647603515625,0.7828
random,18,0.405168671875,0.85804,0.608302099609375,0.7929
random,19,0.3758273046875,0.87188,0.641195947265625,0.7881
random,20,0.367176953125,0.87432,0.5495123046875,0.8216
random,21,0.3427613671875,0.8822,0.770284375,0.7566
random,22,0.3254040625,0.88632,0.82869306640625,0.7561
random,23,0.3174488671875,0.89144,0.471561328125,0.8443
random,24,0.29599654296875,0.89784,0.493042236328125,0.8343
random,25,0.28341326171875,0.90224,0.5476724609375,0.8273
random,26,0.26202970703125,0.90852,0.698066796875,0.789
random,27,0.23670451171875,0.9174,0.521925439453125,0.841
random,28,0.2267780078125,0.92188,0.611655517578125,0.8202
random,29,0.20840517578125,0.92832,0.618985302734375,0.8184
random,30,0.2003975,0.92932,0.43865986328125,0.8662
random,31,0.17172271484375,0.9416,0.452078662109375,0.8583
random,32,0.155923896484375,0.94628,0.436195361328125,0.8733
random,33,0.141304736328125,0.951,0.54269912109375,0.8476
random,34,0.12261740234375,0.95772,0.426786962890625,0.8771
random,35,0.10150359375,0.9648,0.4212826171875,0.8826
random,36,0.083324208984375,0.97204,0.435287646484375,0.8784
random,37,0.06846251953125,0.9778,0.3888653076171875,0.8919
random,38,0.0598455810546875,0.98032,0.373018212890625,0.8971
random,39,0.0455777001953125,0.985,0.3909866455078125,0.8944
random,40,0.03104219970703125,0.99064,0.3701649658203125,0.9028
random,41,0.025152119140625,0.99272,0.378567724609375,0.9027
random,42,0.01957632568359375,0.99468,0.3430450927734375,0.9108
random,43,0.015744432373046874,0.99596,0.35388037109375,0.9104
random,44,0.013109537353515626,0.9972,0.3438752685546875,0.9131
random,45,0.009827131958007813,0.99824,0.3456691650390625,0.9131
random,46,0.00965847900390625,0.998,0.340846875,0.9135
random,47,0.008118182373046874,0.99864,0.3392326416015625,0.9133
random,48,0.008431165161132813,0.9982,0.3390325439453125,0.915
random,49,0.007381053466796875,0.999,0.33763720703125,0.9145
random,50,0.008140075073242187,0.99856,0.3379386962890625,0.9158
el2n,1,2.43670078125,0.16416,2.3458673828125,0.1017
el2n,2,2.0597809375,0.22836,1.8713470703125,0.236
el2n,3,1.90675421875,0.26872,1.83626328125,0.2652
el2n,4,1.851356875,0.29,1.7175421875,0.325
el2n,5,1.80501625,0.30588,1.6544666015625,0.3417
el2n,6,1.7595140625,0.32464,1.60980029296875,0.3536
el2n,7,1.69335140625,0.34944,1.493048828125,0.398
el2n,8,1.6277646875,0.3664,1.4742271484375,0.4012
el2n,9,1.5472803125,0.393,1.17682021484375,0.541
el2n,10,1.44143484375,0.4368,1.19397138671875,0.566
el2n,11,1.33881453125,0.485,0.9938642578125,0.6224
el2n,12,1.243075234375,0.52512,1.14000244140625,0.5786
el2n,13,1.135054765625,0.57216,0.78674150390625,0.7114
el2n,14,1.05162078125,0.6084,1.01735419921875,0.6239
el2n,15,0.971996796875,0.64168,0.86909169921875,0.7108
el2n,16,0.892017421875,0.67032,0.784005419921875,0.7284
el2n,17,0.825058125,0.70388,0.64735595703125,0.7739
el2n,18,0.772014140625,0.72096,0.602613525390625,0.7881
el2n,19,0.71664390625,0.74204,0.51265732421875,0.817
el2n,20,0.680355390625,0.75388,0.651258447265625,0.7722
el2n,21,0.6459116796875,0.76976,0.791158203125,0.7485
el2n,22,0.5937244921875,0.7858,0.49892197265625,0.8308
el2n,23,0.5550384765625,0.8024,0.50428193359375,0.8301
el2n,24,0.522509140625,0.81292,0.4590115234375,0.8471
el2n,25,0.49688953125,0.82208,0.519662646484375,0.8283
el2n,26,0.46252734375,0.83828,0.438389501953125,0.8511
el2n,27,0.429619375,0.84576,0.4840509765625,0.8424
el2n,28,0.3947703515625,0.86044,0.470481884765625,0.8492
el2n,29,0.369245546875,0.86912,0.41289013671875,0.8673
el2n,30,0.3449304296875,0.8766,0.367865234375,0.8827
el2n,31,0.306862109375,0.8912,0.384236474609375,0.8785
el2n,32,0.27799125,0.90116,0.32365712890625,0.8976
el2n,33,0.2517699609375,0.91084,0.3463741455078125,0.895
el2n,34,0.2202997265625,0.92088,0.3621760009765625,0.8874
el2n,35,0.18740513671875,0.93476,0.3432230712890625,0.8976
el2n,36,0.1652123828125,0.94176,0.3372724365234375,0.9005
el2n,37,0.1345016796875,0.953,0.303942626953125,0.9144
el2n,38,0.11428375,0.96056,0.294841796875,0.9173
el2n,39,0.091093818359375,0.96884,0.296432421875,0.9148
el2n,40,0.0667846875,0.97884,0.2938192626953125,0.9184
el2n,41,0.0598609912109375,0.98168,0.27437333984375,0.9261
el2n,42,0.0433787451171875,0.98752,0.293962841796875,0.9175
el2n,43,0.03790587646484375,0.9892,0.2770442626953125,0.9236
el2n,44,0.02946159912109375,0.9924,0.2749904541015625,0.9255
el2n,45,0.02409677490234375,0.994,0.2661392822265625,0.9298
